tx_id,sender,receiver,device,amount,timestamp,hour_of_day,hop_count,velocity_10min,amount_normalized,is_new_pair,is_fraud
206036eb-ddf0-456b-b345-51d87a7d313c,user_55@demo,user_14@demo,device_55,3681.33,2024-03-21T17:03:00,17,1,0,0.36813285221573266,False,0
72b3f6d1-d109-4224-8a53-7335424c4233,user_135@demo,user_40@demo,device_135,4804.29,2024-02-17T08:04:00,8,1,0,0.4804286727339508,False,0
87e7ef17-1644-46b4-bcf7-488679e31885,user_30@demo,user_146@demo,device_30,2898.81,2024-06-07T11:05:00,11,1,3,0.2898806096960981,False,0
a52fc8d5-cc67-4379-8a9d-944065cceabe,user_80@demo,user_66@demo,device_80,3351.93,2024-03-02T11:16:00,11,3,3,0.33519326141014477,False,0
6951d5a9-a6c8-46d6-832b-734f5e28e221,user_117@demo,user_80@demo,device_117,4679.31,2024-04-27T20:39:00,20,1,0,0.4679314094349668,True,0
27b27fbc-1868-49be-a150-764d7d59d505,user_67@demo,user_33@demo,device_67,4405.51,2024-04-04T13:18:00,13,2,1,0.4405512226695333,False,0
1aaf2602-74f1-4ea4-a577-fb7fd100f4c1,user_77@demo,user_157@demo,device_77,3273.34,2024-06-19T20:52:00,20,1,2,0.32733418253765556,False,0
21cfa79f-2162-40c3-b1d6-d77bce737b76,user_34@demo,user_68@demo,device_34,4449.67,2024-03-10T09:18:00,9,2,1,0.4449666407958489,False,0
3b047666-8750-4057-a070-d0b0baa43dc2,user_162@demo,user_67@demo,device_162,2447.77,2024-01-24T16:40:00,16,1,3,0.24477739422253889,False,0
463d4daa-dcc5-49aa-af53-9af894d969fa,user_85@demo,user_198@demo,device_85,3189.2,2024-02-11T10:47:00,10,3,3,0.31891957527338843,False,0
04729114-af69-42e3-a3e5-207f446c6ba4,user_2@demo,user_29@demo,device_2,4725.8,2024-05-19T09:02:00,9,2,2,0.47258041858427285,False,0
21b485d5-730b-4a69-bded-7347c5fc0110,user_32@demo,user_10@demo,device_32,1829.61,2024-04-01T12:13:00,12,1,1,0.18296110614830077,False,0
b47f1aa8-578f-4094-b596-f93ba8a51313,user_143@demo,user_104@demo,device_143,3749.89,2024-02-11T17:51:00,17,2,1,0.37498932796062606,False,0
c3f98b04-8aba-49ea-a697-3a1d0ddcf4f6,user_188@demo,user_63@demo,device_1,9831.68,2024-04-07T02:55:00,2,4,8,0.9831680370753165,False,1
0445c7df-4198-4868-a179-300f12d710d3,user_117@demo,user_89@demo,device_117,4104.48,2024-02-27T12:01:00,12,2,1,0.41044765410480943,False,0
2b7923cb-6766-4de9-a613-8a38cde986f9,user_17@demo,user_198@demo,device_17,1762.22,2024-06-22T12:53:00,12,4,2,0.17622191841229334,False,0
37889801-55f0-45c5-b2d5-ea49814a0430,user_66@demo,user_45@demo,device_66,4813.05,2024-01-10T17:06:00,17,3,3,0.4813046235650162,False,0
d5ecb122-909c-45cb-8029-0d7a366a991e,user_111@demo,user_156@demo,device_111,587.07,2024-03-06T16:02:00,16,2,3,0.0587072462306359,True,0
6fe75fde-2e82-4c53-9f7c-2e61be21711a,user_137@demo,user_176@demo,device_137,4701.91,2024-04-03T19:27:00,19,2,0,0.4701912970783791,False,0
1423e7f6-356e-443c-8fdb-03f25bc48db3,user_159@demo,user_80@demo,device_159,4241.6,2024-05-09T18:19:00,18,3,3,0.42415962447366135,False,0
fc1f9ebb-4d0f-4d4b-9138-6d86558a56ad,user_141@demo,user_32@demo,device_141,2108.03,2024-06-22T11:47:00,11,4,1,0.21080272055268123,False,0
e0312fb5-8ba7-4e4e-9bcc-c4f7bbe2795b,user_140@demo,user_0@demo,device_140,1441.7,2024-05-28T12:38:00,12,4,2,0.14416994471759467,False,0
